,Site,UL-lat,UL-lon,LR-lat,LR-lon
0,American River Basin,38.71024,-120.0419,38.71034,-120.04182
1,Mammoth Lakes,37.61959,-119.0291,37.64329,-119.00027
2,Sagehen Creek,39.42212,-120.29898,39.43041,-120.23981
3,Cameron Pass,40.51857,-105.8935,40.52412,-105.89188
4,Fraser Experimental Forest,39.90552,-105.88286,39.90705,-105.87777
5,Grand Mesa,39.03044,-108.2148,39.05107,-108.03187
6,Niwot Ridge,40.03148,-105.59065,40.05497,-105.54613
7,Senator Beck,37.90702,-107.7263,37.90717,-107.71118
8,East River,38.88812,-107.10796,38.95931,-106.97094
9,Boise River Basin,43.7363,-116.12188,44.30464,-115.2345
10,Jemez River,35.85789,-106.5319,35.88862,-106.52136
11,Little Cottonwood Canyon,40.5721,-111.63759,40.59125,-111.62997
